,0,1,2,3,4,5,6,7,8,9
0,Name,Position,Rating,Year,DVOA,QBR,DVAR,Yards,TD,INT
1,T.Brady,QB,99,2008,54.1%,599,"2,674",,,
2,P.Manning,QB,99,2008,37.1%,537,"1,721",,,
3,B.Favre,QB,89,2008,24.5%,549,"1,311",,,
4,T.Romo,QB,84,2008,22.5%,546,"1,191",,,
5,D.Brees,QB,95,2008,14.2%,669,"1,159",,,
6,C.Palmer,QB,97,2008,17.0%,591,"1,095",,,
7,D.Garrard,QB,82,2008,34.3%,345,"1,019",,,
8,J.Cutler,QB,86,2008,16.0%,495,865,,,
9,M.Hasselbeck,QB,92,2008,10.3%,595,842,,,
10,D.Anderson,QB,78,2008,8.7%,534,676,,,
11,B.Roethlisberger,QB,88,2008,12.7%,450,668,,,
12,J.Garcia,QB,84,2008,17.4%,346,648,,,
13,K.Warner,QB,81,2008,8.3%,472,606,,,
14,D.McNabb,QB,94,2008,5.1%,515,554,,,
15,P.Rivers,QB,89,2008,3.3%,486,441,,,
16,J.Campbell,QB,81,2008,0.4%,436,323,,,
17,M.Schaub,QB,83,2008,5.1%,301,319,,,
18,J.Kitna,QB,84,2008,-4.5%,612,262,,,
19,C.Pennington,QB,88,2008,-6.7%,284,83,,,
20,T.Jackson,QB,77,2008,-8.9%,307,45,,,
21,M.Leinart,QB,84,2008,-6.3%,116,35,,,
22,T.Edwards,QB,70,2008,-11.0%,280,3,,,
23,V.Young,QB,87,2008,-12.3%,409,-30,,,
24,K.Boller,QB,76,2008,-15.3%,295,-81,,,
25,D.Huard,QB,82,2008,-16.6%,367,-123,,,
26,B.Griese,QB,81,2008,-18.3%,275,-124,,,
27,B.Croyle,QB,77,2008,-21.6%,240,-160,,,
28,E.Manning,QB,86,2008,-16.4%,557,-190,,,
29,K.Clemens,QB,76,2008,-22.6%,274,-200,,,
30,M.Bulger,QB,95,2008,-19.7%,414,-224,,,
31,R.Grossman,QB,84,2008,-26.0%,249,-235,,,
32,S.McNair,QB,85,2008,-28.1%,216,-242,,,
33,A.Smith,QB,84,2008,-52.8%,208,-552,,,
34,D.Brees,QB,94,2009,28.6%,64.4,"1,694",,,
35,P.Manning,QB,99,2009,30.0%,79.8,"1,554",,,
36,P.Rivers,QB,90,2009,30.3%,68.1,"1,347",,,
37,J.Cutler,QB,86,2009,17.0%,72.3,"1,172",,,
38,K.Warner,QB,85,2009,16.5%,69.8,"1,160",,,
39,M.Ryan,QB,83,2009,25.3%,74.1,"1,012",,,
40,E.Manning,QB,93,2009,14.0%,62.6,840,,,
41,D.McNabb,QB,92,2009,9.7%,51.6,817,,,
42,M.Schaub,QB,85,2009,18.0%,68.0,767,,,
43,T.Romo,QB,94,2009,12.9%,48.4,713,,,
44,A.Rodgers,QB,83,2009,8.5%,66.9,708,,,
45,J.Delhomme,QB,85,2009,13.2%,62.6,696,,,
46,K.Collins,QB,79,2009,9.8%,57.9,585,,,
47,D.Garrard,QB,92,2009,4.1%,53.1,567,,,
48,J.Garcia,QB,90,2009,6.9%,66.0,467,,,
49,J.Campbell,QB,86,2009,2.6%,56.4,462,,,
50,M.Cassel,QB,76,2009,1.1%,63.2,458,,,
51,J.Flacco,QB,79,2009,-3.0%,43.2,232,,,
52,T.Jackson,QB,79,2009,4.8%,42.5,166,,,
53,K.Orton,QB,76,2009,-6.2%,45.5,161,,,
54,T.Edwards,QB,79,2009,-5.8%,51.9,137,,,
55,B.Roethlisberger,QB,95,2009,-8.1%,46.8,97,,,
56,S.Hill,QB,79,2009,-8.0%,59.1,65,,,
57,C.Palmer,QB,96,2009,-11.8%,48.6,-6,,,
