Name,Position,Rating,Year,DVOA,QBR,DVAR
T.Brady,QB,99,09,40.4%,65.1,"2,021"
P.Rivers,QB,90,09,41.7%,74.7,"1,776"
P.Manning,QB,99,09,34.0%,82.9,"1,771"
D.Brees,QB,94,09,36.7%,79.7,"1,692"
M.Schaub,QB,85,09,29.3%,70.3,"1,624"
T.Romo,QB,94,09,28.0%,62.9,"1,432"
B.Roethlisberger,QB,95,09,23.2%,67.3,"1,227"
A.Rodgers,QB,83,09,17.8%,70.2,"1,105"
E.Manning,QB,93,09,17.3%,69.8,975
K.Warner,QB,85,09,14.5%,67.3,907
K.Orton,QB,76,09,8.4%,53.2,711
M.Ryan,QB,83,09,12.4%,56.6,702
J.Flacco,QB,79,09,8.4%,55.0,667
C.Palmer,QB,96,09,7.8%,53.1,583
D.McNabb,QB,92,09,4.5%,60.0,485
C.Henne,QB,77,09,3.4%,51.3,449
V.Young,QB,88,09,13.9%,70.3,427
M.Moore,QB,79,09,17.0%,59.2,262
D.Garrard,QB,92,09,-4.1%,52.6,249
J.Campbell,QB,86,09,-6.1%,47.7,181
K.Kolb,QB,78,09,11.8%,49.5,152
K.Collins,QB,79,09,-21.0%,33.2,-139
M.Bulger,QB,89,09,-23.2%,32.1,-203
B.Quinn,QB,82,09,-22.8%,33.4,-207
A.Smith,QB,79,09,-19.5%,40.2,-210
T.Edwards,QB,79,09,-29.6%,28.3,-229
J.Delhomme,QB,85,09,-23.1%,31.1,-260
S.Hill,QB,79,09,-36.3%,42.6,-261
K.Boller,QB,78,09,-39.4%,11.1,-352
J.Cutler,QB,86,09,-21.4%,48.2,-390
D.Anderson,QB,87,09,-43.6%,16.6,-399
M.Hasselbeck,QB,91,09,-24.8%,26.4,-468
M.Cassel,QB,76,09,-29.3%,30.9,-619
J.Russell,QB,83,09,-62.0%,11.7,-834
T.Brady,QB,97,10,46.7%,76.9,"1,918"
P.Rivers,QB,89,10,27.9%,63.4,"1,430"
P.Manning,QB,99,10,19.0%,69.0,"1,400"
A.Rodgers,QB,86,10,26.9%,69.4,"1,288"
M.Ryan,QB,85,10,18.0%,69.7,"1,120"
D.Brees,QB,96,10,13.3%,65.4,"1,093"
B.Roethlisberger,QB,93,10,31.1%,64.2,"1,061"
M.Schaub,QB,77,10,12.2%,57.9,930
J.Freeman,QB,73,10,13.9%,64.6,816
C.Palmer,QB,88,10,7.1%,43.5,739
J.Flacco,QB,81,10,9.4%,60.4,695
K.Orton,QB,74,10,8.3%,48.0,663
M.Cassel,QB,83,10,8.4%,52.3,589
E.Manning,QB,87,10,4.2%,65.5,547
S.Hill,QB,69,10,6.7%,41.8,486
C.Henne,QB,66,10,1.0%,42.5,402
V.Young,QB,68,10,20.5%,70.6,353
T.Romo,QB,87,10,13.3%,56.4,334
M.Sanchez,QB,78,10,-4.3%,48.2,234
D.Garrard,QB,78,10,-1.8%,60.3,227
K.Collins,QB,79,10,-3.2%,58.7,150
D.McNabb,QB,90,10,-6.9%,38.9,133
M.Stafford,QB,79,10,3.0%,58.1,91
J.Cutler,QB,87,10,-8.5%,48.5,81
J.Campbell,QB,77,10,-10.1%,48.5,23
K.Kolb,QB,68,10,-10.2%,35.7,12
A.Smith,QB,67,10,-12.2%,40.9,-26
M.Hasselbeck,QB,84,10,-16.8%,40.4,-173
D.Anderson,QB,70,10,-25.4%,35.7,-308
J.Delhomme,QB,80,10,-42.7%,26.5,-313
M.Moore,QB,55,10,-42.8%,25.0,-324
T.Edwards,QB,76,10,-58.3%,21.8,-335
D.Brees,QB,99,11,38.3%,84.0,"2,259"
A.Rodgers,QB,94,11,46.6%,86.2,"2,059"
T.Brady,QB,95,11,35.4%,72.7,"1,997"
T.Romo,QB,90,11,26.8%,71.4,"1,344"
M.Stafford,QB,80,11,14.9%,65.5,"1,170"
M.Ryan,QB,86,11,18.7%,69.0,"1,118"
P.Rivers,QB,94,11,17.0%,62.7,"1,118"
E.Manning,QB,89,11,16.2%,59.4,"1,109"
