Name,Position,Rating,Year,DVOA,QBR,DVAR,Yards,TD,INT
T.Brady,QB,98.0,2007-01-01 00:00:00,54.1,599.0,2674.0,,,
P.Manning,QB,99.0,2007-01-01 00:00:00,37.1,537.0,1721.0,,,
B.Favre,QB,88.0,2007-01-01 00:00:00,24.5,549.0,1311.0,,,
T.Romo,QB,75.0,2007-01-01 00:00:00,22.5,546.0,1191.0,,,
D.Brees,QB,92.0,2007-01-01 00:00:00,14.2,669.0,1159.0,,,
C.Palmer,QB,95.0,2007-01-01 00:00:00,17.0,591.0,1095.0,,,
D.Garrard,QB,81.0,2007-01-01 00:00:00,34.3,345.0,1019.0,,,
J.Cutler,QB,79.0,2007-01-01 00:00:00,16.0,495.0,865.0,,,
M.Hasselbeck,QB,93.0,2007-01-01 00:00:00,10.3,595.0,842.0,,,
D.Anderson,QB,66.0,2007-01-01 00:00:00,8.7,534.0,676.0,,,
B.Roethlisberger,QB,92.0,2007-01-01 00:00:00,12.7,450.0,668.0,,,
K.Warner,QB,87.0,2007-01-01 00:00:00,8.3,472.0,606.0,,,
D.McNabb,QB,94.0,2007-01-01 00:00:00,5.1,515.0,554.0,,,
P.Rivers,QB,83.0,2007-01-01 00:00:00,3.3,486.0,441.0,,,
J.Campbell,QB,77.0,2007-01-01 00:00:00,0.4,436.0,323.0,,,
J.Kitna,QB,83.0,2007-01-01 00:00:00,-4.5,612.0,262.0,,,
T.Green,QB,91.0,2007-01-01 00:00:00,4.9,146.0,148.0,,,
C.Pennington,QB,85.0,2007-01-01 00:00:00,-6.7,284.0,83.0,,,
T.Jackson,QB,76.0,2007-01-01 00:00:00,-8.9,307.0,45.0,,,
M.Leinart,QB,81.0,2007-01-01 00:00:00,-6.3,116.0,35.0,,,
D.Culpepper,QB,92.0,2007-01-01 00:00:00,-8.5,209.0,33.0,,,
V.Young,QB,82.0,2007-01-01 00:00:00,-12.3,409.0,-30.0,,,
K.Boller,QB,80.0,2007-01-01 00:00:00,-15.3,295.0,-81.0,,,
D.Huard,QB,71.0,2007-01-01 00:00:00,-16.6,367.0,-123.0,,,
B.Griese,QB,81.0,2007-01-01 00:00:00,-18.3,275.0,-124.0,,,
B.Croyle,QB,75.0,2007-01-01 00:00:00,-21.6,240.0,-160.0,,,
E.Manning,QB,88.0,2007-01-01 00:00:00,-16.4,557.0,-190.0,,,
K.Clemens,QB,74.0,2007-01-01 00:00:00,-22.6,274.0,-200.0,,,
D.Carr,QB,84.0,2007-01-01 00:00:00,-32.6,150.0,-204.0,,,
M.Bulger,QB,90.0,2007-01-01 00:00:00,-19.7,414.0,-224.0,,,
R.Grossman,QB,85.0,2007-01-01 00:00:00,-26.0,249.0,-235.0,,,
S.McNair,QB,88.0,2007-01-01 00:00:00,-28.1,216.0,-242.0,,,
A.Smith,QB,82.0,2007-01-01 00:00:00,-52.8,208.0,-552.0,,,
D.Brees,QB,95.0,2008-01-01 00:00:00,28.6,,1694.0,,,
P.Manning,QB,99.0,2008-01-01 00:00:00,30.0,,1554.0,,,
P.Rivers,QB,89.0,2008-01-01 00:00:00,30.3,,1347.0,,,
J.Cutler,QB,86.0,2008-01-01 00:00:00,17.0,,1172.0,,,
K.Warner,QB,81.0,2008-01-01 00:00:00,16.5,,1160.0,,,
C.Pennington,QB,88.0,2008-01-01 00:00:00,21.1,,1030.0,,,
E.Manning,QB,86.0,2008-01-01 00:00:00,14.0,,840.0,,,
D.McNabb,QB,94.0,2008-01-01 00:00:00,9.7,,817.0,,,
M.Schaub,QB,83.0,2008-01-01 00:00:00,18.0,,767.0,,,
T.Romo,QB,84.0,2008-01-01 00:00:00,12.9,,713.0,,,
A.Rodgers,QB,76.0,2008-01-01 00:00:00,8.5,,708.0,,,
J.Delhomme,QB,86.0,2008-01-01 00:00:00,13.2,,696.0,,,
K.Collins,QB,79.0,2008-01-01 00:00:00,9.8,,585.0,,,
D.Garrard,QB,82.0,2008-01-01 00:00:00,4.1,,567.0,,,
J.Garcia,QB,84.0,2008-01-01 00:00:00,6.9,,467.0,,,
J.Campbell,QB,81.0,2008-01-01 00:00:00,2.6,,462.0,,,
M.Cassel,QB,75.0,2008-01-01 00:00:00,1.1,,458.0,,,
T.Jackson,QB,77.0,2008-01-01 00:00:00,4.8,,166.0,,,
K.Orton,QB,71.0,2008-01-01 00:00:00,-6.2,,161.0,,,
T.Edwards,QB,70.0,2008-01-01 00:00:00,-5.8,,137.0,,,
B.Roethlisberger,QB,88.0,2008-01-01 00:00:00,-8.1,,97.0,,,
B.Favre,QB,89.0,2008-01-01 00:00:00,-8.6,,95.0,,,
C.Palmer,QB,97.0,2008-01-01 00:00:00,-11.8,,-6.0,,,
B.Griese,QB,81.0,2008-01-01 00:00:00,-17.7,,-79.0,,,
J.Kitna,QB,84.0,2008-01-01 00:00:00,-25.0,,-120.0,,,
